Timestamp,User,Action,Details
"Jan 09, 2025, 14:09:00",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 14:25:12",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 15:14:18",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":2},""AccessCost"":3}"
"Jan 13, 2025, 15:14:22",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":1},""AccessCost"":2}"
"Jan 13, 2025, 15:17:13",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":1},""AccessCost"":2}"
"Jan 13, 2025, 15:28:45",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":1},""AccessCost"":2}"
"Jan 13, 2025, 15:34:43",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 15:34:55",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:01:13",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 16:02:45",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:05:05",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:06:33",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:10:25",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:15:41",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-1},""AccessCost"":2}"
"Jan 13, 2025, 16:24:08",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 16:25:08",Test,files>0 changed to copied,"{""Cost"":2,""Repeat"":1}"
"Jan 13, 2025, 16:29:13",Test,cameras>0 changed to view,"{""Cost"":2,""Repeat"":1}"
"Jan 13, 2025, 16:31:19",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-4},""AccessCost"":3}"
